Date,Description,Amount,Type,Category
2026-01-04,AMZN MKTP U,23.97,Expense,Shopping
2026-01-05,RENT PAYMENT,750.00,Expense,Rent
2026-01-03,COSTA COFFEE,4.65,Expense,Food & Drink
2026-01-05,RENT  OH9SDB LANDLORD,750.00,Expense,Rent
2026-01-05,fpS RENT To LAndLoRD,750.00,Expense,Rent
2026-01-02,UBER BV 58DR,8.40,Expense,Travel
2026-01-03,POS COSTA COFFEE 20629,4.72,Expense,Food & Drink
2026-01-03,pos txn costa coffee 38214,4.65,Expense,Food & Drink
2026-01-03,STARBUCKS BHM 2744,4.65,Expense,Food & Drink
2026-01-05,BANK TRANSFER RENT,750.00,Expense,Rent
2026-01-04,AMZN MKTP UK *SEMC,25.12,Expense,Shopping
2026-01-03,COSTA* 042 LIV REF 6T4UFE,4.65,Expense,Food & Drink
2026-01-06,bacs 0l72 salary,2500.00,Income,Salary
2026-01-05,STO RENT PMT,750.00,Expense,Rent
2026-01-02,UBR* BIRMINGHM 87WX,8.22,Expense,Travel
2026-01-04,CARD PAYMENT AMAZON LPYS#28,24.99,Expense,Shopping
2026-01-06,BACS IXA11 SALARY,2500.00,Income,Salary
2026-01-06,EMPLO*YER  PAY 0RJI,2500.00,Income,Salary
2026-01-02,UBER *TRIP BIRM,8.40,Expense,Travel
2026-01-04,AM*ZN EU-UK XDP5GJ,24.99,Expense,Shopping
2026-01-05,BANK TRANSFER RENT,750.00,Expense,Rent
2026-01-01,NETFLIX.COm *UK,12.99,Expense,Entertainment
2026-01-04,AMZN MKTP UK,24.99,Expense,Shopping
2026-01-02,UBER *TRIP MANCHESTER,8.40,Expense,Travel
2026-01-06,payroll tze5,2500.00,Income,Salary
2026-01-05,baNK TrAN,750.00,Expense,Rent
2026-01-04,AM*ZN  EU-UK IFJFC2,24.99,Expense,Shopping
2026-01-01,PAYMENT NETFLIX,12.99,Expense,Entertainment
2026-01-01,Netflix.Com *Uk,12.99,Expense,Entertainment
2026-01-03,STARBUCKS STORE 2539 LDN,4.65,Expense,Food & Drink
2026-01-03,COSTA  BIRM 23843,4.81,Expense,Food & Drink
2026-01-02,Uber Trip 0Oxf Birminghm 684,8.05,Expense,Travel
2026-01-04,CARD PAYMENT AMAZON RUIW,24.99,Expense,Shopping
2026-01-04,aMZN Eu-uK u9K9x,24.78,Expense,Shopping
2026-01-06,SALARY  CREDIT SJF678 REF ATQYY,2500.00,Income,Salary
2026-01-06,SALARY CREDIT QY08P,2443.97,Income,Salary
2026-01-06,BACS HX8BM9 SALARY,2500.00,Income,Salary
2026-01-03,costa manc 04354,4.75,Expense,Food & Drink
2026-01-04,AMZN MKTP UK *VCJWT,24.99,Expense,Shopping
2026-01-04,AMZN MKTP UK *XNF7C,24.99,Expense,Shopping
2026-01-01,CARD PAYMENT NETFLIX,12.78,Expense,Entertainment
2026-01-03,STARBUCKS LIVERPOOL 4337,4.77,Expense,Food & Drink
2026-01-05,STO  RENT PAYMENT,750.00,Expense,Rent
2026-01-03,COSTA  COFFEE #62491,4.78,Expense,Food & Drink
2026-01-05,RENT S6M033 KJCSL,750.00,Expense,Rent
2026-01-01,netflix rfcd6m gb,12.99,Expense,Entertainment
2026-01-02,UBR* MANCHESTER,8.40,Expense,Travel
2026-01-04,AMZN MKTP UK *GH8RI,24.99,Expense,Shopping
2026-01-01,NETFLIX.COM NZ8V1,13.13,Expense,Entertainment
2026-01-04,AMZN UK *5TD44,23.99,Expense,Shopping
2026-01-06,SALARY CREDI*T K#3ZE REF QD6VAS,2500.00,Income,Salary
2026-01-02,UBR*  MANCHESTER A2M0W1,8.40,Expense,Travel
2026-01-02,UBR* BIRMINGHM RBXK5B,8.40,Expense,Travel
2026-01-01,CARD PAYMENT NET,13.13,Expense,Entertainment
2026-01-02,UBER BV RVEHY REF 88SQ,8.40,Expense,Travel
2026-01-05,STO RENT PAYMENT,750.00,Expense,Rent
2026-01-02,UBR* 92IR,8.37,Expense,Travel
2026-01-04,AMAZON UK V1ES53,24.99,Expense,Shopping
2026-01-04,AMAZON UK ZV4U3B,24.99,Expense,Shopping
2026-01-04,amazon uk rhvlz ref 5p863,24.99,Expense,Shopping
2026-01-04,Card  Payment Amazon P501,24.99,Expense,Shopping
2026-01-05,FPS RENT TO LANDLORD,750.00,Expense,Rent
2026-01-03,STARBUCKS STORE 77575 LEEDS/Z1N3,4.65,Expense,Food & Drink
2026-01-06,EMPLOYER PAY 8KK7,2500.00,Income,Salary
2026-01-01,CARD PAYMENT NETFLIX,12.99,Expense,Entertainment
2026-01-04,EU-UK RH#8LX,24.99,Expense,Shopping
2026-01-02,UBR* TRIP LONDON #8.40,8.40,Expense,Travel
2026-01-04,AMZN EU-UK DYGFL,24.99,Expense,Shopping
2026-01-02,UBR* TRIP MANCHESTER 8.40,8.40,Expense,Travel
2026-01-06,employer pay lseh,2500.00,Income,Salary
2026-01-06,BACs crEDIT PaYROLl,2500.00,Income,Salary
2026-01-06,SALARY CREDIT DBVZ,2500.00,Income,Salary
2026-01-02,UBER TRIP KC856 LIVERPOOL,8.40,Expense,Travel
2026-01-04,CARD PAYMENT AMAZON UEIHX,24.99,Expense,Shopping
2026-01-06,SALARY CREDIT E#9RIVH,2500.00,Income,Salary
2026-01-05,FpS  RENT to LANDLOrD,750.00,Expense,Rent
2026-01-02,*TRIP LONDON,8.40,Expense,Travel
2026-01-02,uber bv #3c9xbo,8.40,Expense,Travel
2026-01-04,AMZN UK *6UB7L,25.60,Expense,Shopping
2026-01-02,UBR* TRIP LONDON #8.40,8.40,Expense,Travel
2026-01-02,*TRIP MANCHESTER,8.40,Expense,Travel
2026-01-06,EMPLOYER PAY NEKRCP,2500.00,Income,Salary
2026-01-04,amzn mktp uk *8hl88k,24.99,Expense,Shopping
2026-01-06,BACS WIXZ SALARY,2500.00,Income,Salary
2026-01-06,Salary Credit 9Yo18P,2500.00,Income,Salary
2026-01-04,AMZN MKTP UK *MM2S,24.99,Expense,Shopping
2026-01-01,NETFLIX GXPBWH GB,12.99,Expense,Entertainment
2026-01-06,EMPLOYER PAY MQGY2,2500.00,Income,Salary
2026-01-05,FPS RENT TO L,750.00,Expense,Rent
2026-01-05,Rent E#13N3B Landlord,750.00,Expense,Rent
2026-01-02,UBER BV 32UT,8.40,Expense,Travel
2026-01-05,FPS RENT TO LANDLORD,750.00,Expense,Rent
